RecordID,Season,Team,Conference,Overall Seed,Bid Type,NET Rank,PrevNET,AvgOppNETRank,AvgOppNET,Win ,Loss,Conf W,Conf L,Non-Con W,Non-Con L,Road W,Road L,NETSOS,NETNonConfSOS,Q1 Win,Q1 Loss,Q2 Win,Q2 Loss,Q3 Win,Q3 Loss,Quadrant4,
2020-21-NorthCarolina,2020-21,North Carolina,ACC,31,AL,32,32,26,84,18,10,12,7,6,3,3,7,31,86,3,9,8,1,4,1,3,1
2020-21-EasternIll.,2020-21,Eastern Ill.,OVC,,,304,304,294,228,9,18,6,14,3,4,4,11,246,150,0,1,0,3,1,6,8,8
2020-21-MissouriSt.,2020-21,Missouri St.,MVC,,,97,97,155,170,15,7,13,7,2,1,7,2,173,323,0,3,0,2,7,2,8,1
2020-21-LoyolaMaryland,2020-21,Loyola Maryland,Patriot,,,151,151,153,166,6,11,6,11,0,0,3,7,157,,0,1,2,2,0,5,4,3
2020-21-Marist,2020-21,Marist,MAAC,,,230,230,308,233,12,9,10,9,2,1,6,5,339,325,0,0,0,0,3,5,9,4
2020-21-MoreheadSt.,2020-21,Morehead St.,OVC,56,AQ,121,122,235,208,21,7,20,3,1,4,8,5,191,17,0,3,1,2,6,1,14,1
2020-21-OhioSt.,2020-21,Ohio St.,Big Ten,6,AL,8,8,3,62,21,9,15,9,6,1,7,4,5,203,9,7,6,2,4,1,2,1
2020-21-OregonSt.,2020-21,Oregon St.,Pac-12,46,AQ,91,91,55,98,16,12,13,10,3,2,4,6,63,312,5,5,2,4,4,1,5,2
2020-21-MontanaSt.,2020-21,Montana St.,Big Sky,,,225,225,276,220,11,10,10,7,1,3,6,6,281,214,0,0,0,4,2,3,9,3
2020-21-Rider,2020-21,Rider,MAAC,,,278,278,216,201,6,17,6,14,0,3,4,8,262,44,0,2,0,0,2,7,4,8
2020-21-St.FrancisBrooklyn,2020-21,St. Francis Brooklyn,NEC,,,235,235,252,216,9,10,9,9,0,1,5,4,336,302,0,0,0,0,6,3,3,7
2020-21-SouthernU.,2020-21,Southern U.,SWAC,,,288,288,342,265,8,11,8,7,0,4,3,7,230,10,0,2,0,1,0,2,8,6
2020-21-Davidson,2020-21,Davidson,Atlantic 10,,,58,58,101,133,12,8,8,5,4,3,4,2,108,205,0,4,4,2,4,1,4,1
2020-21-MississippiVal.,2020-21,Mississippi Val.,SWAC,,,347,347,264,218,2,22,2,14,0,8,1,16,179,24,0,3,0,4,0,3,2,12
2020-21-Elon,2020-21,Elon,CAA,,,184,184,200,195,9,9,7,8,2,1,4,6,258,283,0,0,0,0,4,9,5,1
2020-21-Michigan,2020-21,Michigan,Big Ten,4,AL,4,4,8,66,20,4,15,4,5,1,6,2,19,261,8,3,6,1,4,1,2,1
2020-21-SanFrancisco,2020-21,San Francisco,WCC,,,105,105,113,142,11,14,5,10,6,4,3,6,86,144,1,5,1,4,2,4,7,1
2020-21-Louisville,2020-21,Louisville,ACC,,,56,56,30,86,13,7,8,6,5,1,4,4,46,114,1,6,6,1,4,1,2,1
2020-21-CaliforniaBaptist,2020-21,California Baptist,WAC,,,249,249,299,229,9,10,6,7,3,3,1,4,277,246,0,1,1,1,1,3,7,5
2020-21-Hartford,2020-21,Hartford,America East,64,AQ,162,161,285,222,15,8,12,6,3,2,5,6,231,94,0,2,1,1,3,5,11,1
2020-21-Georgetown,2020-21,Georgetown,Big East,47,AQ,64,64,14,72,13,12,11,9,2,3,2,6,29,92,3,9,5,1,4,2,1,1
2020-21-TheCitadel,2020-21,The Citadel,SoCon,,,209,209,127,154,9,12,6,12,3,1,1,8,171,321,0,1,0,6,4,5,5,1
2020-21-SetonHall,2020-21,Seton Hall,Big East,,,57,57,22,77,14,13,11,10,3,3,6,7,36,53,3,9,5,3,4,1,2,1
2020-21-BoiseSt.,2020-21,Boise St.,Mountain West,,,50,50,121,151,17,8,14,7,3,1,4,6,97,14,2,4,2,3,4,1,9,1
2020-21-Auburn,2020-21,Auburn,SEC,,,66,66,33,87,13,14,7,11,6,3,3,8,27,72,1,9,5,3,2,2,5,1
2020-21-ChicagoSt.,2020-21,Chicago St.,WAC,,,346,346,132,156,0,9,0,0,0,9,0,7,62,58,0,3,0,2,0,0,0,4
2020-21-MurraySt.,2020-21,Murray St.,OVC,,,196,196,321,238,11,13,10,11,1,2,4,8,321,310,0,0,0,2,1,6,10,5
2020-21-TarletonSt.,2020-21,Tarleton St.,WAC,,,255,255,222,203,5,10,5,7,0,3,4,7,247,87,0,1,0,1,1,4,4,4
2020-21-Stanford,2020-21,Stanford,Pac-12,,,78,78,56,99,14,13,10,11,4,2,6,6,45,73,4,6,1,5,6,2,3,1
2020-21-NorthAla.,2020-21,North Ala.,ASUN,,,282,282,321,238,9,11,9,9,0,2,3,6,286,135,0,1,0,3,0,0,9,7
2020-21-UNI,2020-21,UNI,MVC,,,194,194,109,140,8,15,8,11,0,4,3,7,117,28,0,5,0,3,3,5,5,2
2020-21-PurdueFortWayne,2020-21,Purdue Fort Wayne,Horizon,,,283,284,312,234,8,15,7,15,1,1,3,9,338,330,0,0,0,0,3,8,5,7
2020-21-HoustonChristian,2020-21,Houston Christian,Southland,,,334,334,260,217,5,19,5,12,0,7,1,12,196,70,0,4,0,2,0,4,5,9
2020-21-UTRGV,2020-21,UTRGV,WAC,,,289,289,285,222,5,10,2,6,3,4,1,5,266,215,0,1,0,0,0,6,5,3
2020-21-OleMiss,2020-21,Ole Miss,SEC,,,53,53,75,112,16,11,11,9,5,2,5,6,74,273,3,5,4,4,4,2,5,1
2020-21-JacksonSt.,2020-21,Jackson St.,SWAC,,,256,256,342,265,12,6,12,1,0,5,5,5,290,75,0,1,0,2,0,2,12,1
2020-21-Dartmouth,2020-21,Dartmouth,Ivy League,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
2020-21-Creighton,2020-21,Creighton,Big East,17,AL,26,25,52,97,20,8,16,7,4,1,7,4,68,186,7,3,5,3,4,2,4,1
2020-21-NorfolkSt.,2020-21,Norfolk St.,MEAC,67,AQ,170,169,308,233,14,7,10,4,4,3,6,3,318,235,0,0,1,1,4,1,9,5
2020-21-Cincinnati,2020-21,Cincinnati,The American,,,124,115,69,107,12,11,10,7,2,4,5,5,80,82,1,4,4,4,4,2,3,1
2020-21-Houston,2020-21,Houston,The American,8,AQ,5,5,101,133,23,3,17,3,6,1,5,3,133,157,2,1,6,1,10,1,5,1
2020-21-WesternMich.,2020-21,Western Mich.,MAC,,,299,299,142,162,4,16,4,12,0,4,3,7,160,180,0,2,0,5,1,4,3,5
2020-21-VMI,2020-21,VMI,SoCon,,,146,146,130,155,10,12,8,8,2,4,1,10,146,120,0,2,3,4,2,5,5,1
2020-21-UtahTech,2020-21,Utah Tech,WAC,,,317,317,264,218,6,13,4,10,2,3,3,6,252,129,0,1,0,1,1,3,5,8
2020-21-WesternIll.,2020-21,Western Ill.,Summit League,,,313,313,285,222,6,15,5,10,1,5,4,9,240,175,0,1,0,2,0,5,6,7
2020-21-Delaware,2020-21,Delaware,CAA,,,220,220,213,200,6,8,5,5,1,3,1,4,327,276,0,0,0,0,2,5,4,3
2020-21-EasternKy.,2020-21,Eastern Ky.,OVC,,,152,152,325,241,20,7,16,6,4,1,9,4,310,270,0,1,0,2,4,1,16,3
2020-21-Georgia,2020-21,Georgia,SEC,,,98,98,47,94,13,12,7,12,6,1,2,6,44,309,3,7,3,2,3,3,4,1
2020-21-PortlandSt.,2020-21,Portland St.,Big Sky,,,268,268,279,221,6,12,6,9,0,3,2,6,305,154,0,0,0,2,1,5,5,5
2020-21-OralRoberts,2020-21,Oral Roberts,Summit League,61,AQ,158,159,216,201,13,10,13,5,0,5,5,7,159,3,0,5,0,0,4,3,9,2
2020-21-UCF,2020-21,UCF,The American,,,103,103,67,106,11,12,9,11,2,1,4,8,70,1,1,6,2,4,5,2,3,1
2020-21-CalSt.Fullerton,2020-21,Cal St. Fullerton,Big West,,,257,257,207,197,5,10,5,8,0,2,1,5,213,301,0,2,0,0,2,2,3,6
2020-21-LMU(CA),2020-21,LMU (CA),WCC,,,99,99,92,127,13,9,8,6,5,3,4,5,104,130,0,3,3,5,6,1,4,1
2020-21-N.C.A&T,2020-21,N.C. A&T,MEAC,,,284,283,300,230,9,10,7,1,2,9,5,6,198,146,0,2,0,1,0,4,9,3
2020-21-LittleRock,2020-21,Little Rock,Sun Belt,,,228,229,229,206,10,15,7,12,3,3,2,8,278,162,0,0,0,3,2,5,8,7
2020-21-Villanova,2020-21,Villanova,Big East,18,AL,17,16,30,86,16,6,11,5,5,1,4,4,61,107,5,3,4,3,6,1,1,1
2020-21-BowlingGreen,2020-21,Bowling Green,MAC,,,139,140,161,172,13,11,10,9,3,2,10,3,148,119,1,1,3,3,3,4,6,3
2020-21-Oregon,2020-21,Oregon,Pac-12,25,AL,33,34,69,107,20,6,15,5,5,1,7,2,82,185,2,3,7,1,7,2,4,1
2020-21-Utah,2020-21,Utah,Pac-12,,,89,89,65,105,12,13,9,12,3,1,3,7,59,171,2,6,2,4,4,2,4,1
2020-21-KennesawSt.,2020-21,Kennesaw St.,ASUN,,,335,335,222,203,2,19,2,14,0,5,0,9,190,63,0,1,0,5,0,1,2,12
2020-21-KansasSt.,2020-21,Kansas St.,Big 12,,,182,183,49,95,9,19,5,15,4,4,2,7,20,240,0,15,1,1,3,2,5,1
2020-21-Howard,2020-21,Howard,MEAC,,,312,311,170,177,1,3,0,0,1,3,0,0,224,259,0,0,0,1,0,1,1,1
2020-21-SouthernUtah,2020-21,Southern Utah,Big Sky,,,129,129,304,232,15,4,13,3,2,1,5,3,299,242,0,0,1,3,2,1,12,1
2020-21-Miami(FL),2020-21,Miami (FL),ACC,,,149,149,59,101,10,17,6,16,4,1,1,8,52,264,3,7,3,5,0,4,4,1
2020-21-Merrimack,2020-21,Merrimack,NEC,,,224,223,270,219,9,9,9,9,0,0,3,6,317,,0,0,0,1,1,6,8,2
2020-21-Harvard,2020-21,Harvard,Ivy League,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
2020-21-Campbell,2020-21,Campbell,Big South,,,202,202,303,231,15,10,13,7,2,3,6,7,243,255,0,4,0,0,2,2,13,4
2020-21-BallSt.,2020-21,Ball St.,MAC,,,172,172,146,164,10,13,8,10,2,3,3,8,137,118,0,2,1,5,2,6,7,1
2020-21-Maine,2020-21,Maine,America East,,,308,308,197,194,2,7,2,6,0,1,1,6,220,254,0,0,0,2,0,3,2,2
2020-21-DePaul,2020-21,DePaul,Big East,,,163,163,38,89,5,14,3,14,2,1,2,5,51,324,1,6,2,5,0,3,2,1
2020-21-UTMartin,2020-21,UT Martin,OVC,,,338,338,247,215,7,16,6,14,1,2,2,9,271,193,0,1,0,2,0,7,7,6
2020-21-Colorado,2020-21,Colorado,Pac-12,20,AL,15,15,67,106,22,8,16,7,6,1,6,6,78,200,3,4,7,1,9,3,3,1
2020-21-FloridaA&M,2020-21,Florida A&M,MEAC,,,285,285,330,244,8,12,7,6,1,6,4,10,205,42,0,3,0,1,0,2,8,6
2020-21-Kentucky,2020-21,Kentucky,SEC,,,60,60,2,56,9,16,8,10,1,6,4,6,13,27,3,11,3,4,3,1,0,0
2020-21-NorthFlorida,2020-21,North Florida,ASUN,,,296,296,276,220,7,14,6,7,1,7,3,10,209,163,0,2,0,2,0,3,7,7
2020-21-Tennessee,2020-21,Tennessee,SEC,19,AL,13,13,42,91,18,8,11,8,7,1,4,4,42,183,6,6,2,2,6,1,4,1
2020-21-Bucknell,2020-21,Bucknell,Patriot,,,212,213,190,191,5,7,5,7,0,0,3,4,180,,0,1,0,1,1,3,4,2
2020-21-NotreDame,2020-21,Notre Dame,ACC,,,93,93,25,83,11,15,8,12,3,3,4,8,30,32,3,11,1,3,3,1,4,1
2020-21-NIU,2020-21,NIU,MAC,,,337,337,170,177,3,16,2,12,1,4,1,9,152,137,0,2,0,4,1,4,2,6
2020-21-RhodeIsland,2020-21,Rhode Island,Atlantic 10,,,108,108,83,116,10,15,7,11,3,4,2,9,92,100,2,3,1,8,4,3,3,1
2020-21-Oklahoma,2020-21,Oklahoma,Big 12,32,AL,36,37,62,103,15,10,10,9,5,1,4,6,26,159,5,9,0,0,4,1,6,1
2020-21-St.Bonaventure,2020-21,St. Bonaventure,Atlantic 10,37,AQ,23,27,85,118,16,4,14,4,2,1,4,3,99,239,4,2,3,1,5,1,4,1
2020-21-SFA,2020-21,SFA,Southland,,,147,147,338,255,13,5,12,3,1,2,6,4,256,62,0,2,0,1,1,1,12,2
2020-21-NewMexicoSt.,2020-21,New Mexico St.,WAC,,,175,175,308,233,9,8,9,7,0,1,4,5,312,316,0,0,0,2,0,1,9,5
2020-21-NorthernColo.,2020-21,Northern Colo.,Big Sky,,,263,263,252,216,8,11,7,9,1,2,4,5,216,16,0,2,0,1,2,3,6,5
2020-21-SanDiego,2020-21,San Diego,WCC,,,250,250,86,124,3,11,2,8,1,3,3,5,76,115,0,3,0,3,1,5,2,1
2020-21-California,2020-21,California,Pac-12,,,165,165,52,97,8,20,4,18,4,2,1,11,71,234,1,6,2,8,1,6,4,1
2020-21-DetroitMercy,2020-21,Detroit Mercy,Horizon,,,166,166,264,218,12,10,11,7,1,3,5,5,273,134,0,1,0,3,1,3,11,3
2020-21-ClevelandSt.,2020-21,Cleveland St.,Horizon,60,AQ,160,160,242,213,19,7,19,4,0,3,8,5,215,6,1,3,0,1,0,0,18,3
2020-21-Pittsburgh,2020-21,Pittsburgh,ACC,,,100,100,65,105,10,12,6,11,4,1,3,5,77,271,1,5,4,3,2,3,3,1
2020-21-Ark.-PineBluff,2020-21,Ark.-Pine Bluff,SWAC,,,342,342,264,218,4,21,3,13,1,8,2,17,167,23,0,4,0,2,0,4,4,11
2020-21-Iowa,2020-21,Iowa,Big Ten,7,AL,6,6,35,88,21,8,15,7,6,1,6,4,15,165,8,6,5,2,3,1,5,1
2020-21-Grambling,2020-21,Grambling,SWAC,,,300,300,338,255,11,12,10,7,1,5,5,7,282,81,0,2,0,1,1,2,10,7
2020-21-NewHampshire,2020-21,New Hampshire,America East,,,239,239,260,217,9,9,9,7,0,2,5,3,340,286,0,0,0,0,3,3,6,6
2020-21-Texas,2020-21,Texas,Big 12,11,AQ,21,21,26,84,19,7,13,6,6,1,6,2,21,89,8,6,2,1,5,1,4,1
2020-21-TexasSt.,2020-21,Texas St.,Sun Belt,,,157,157,327,242,17,6,12,4,5,2,9,3,300,218,0,1,0,1,3,1,14,3
2020-21-Northwestern,2020-21,Northwestern,Big Ten,,,92,92,10,67,8,15,6,14,2,1,2,8,2,304,2,11,3,3,1,1,2,1
2020-21-SaintMary's(CA),2020-21,Saint Mary's (CA),WCC,,,62,62,73,110,14,9,5,7,9,2,2,3,66,201,0,6,4,2,6,1,4,1
2020-21-Bradley,2020-21,Bradley,MVC,,,174,174,124,152,10,16,6,13,4,3,2,9,131,142,0,4,2,5,2,3,6,4
2020-21-PrairieView,2020-21,Prairie View,SWAC,,,201,203,344,270,16,5,15,1,1,4,5,3,334,156,0,1,0,1,1,1,15,2
2020-21-BostonU.,2020-21,Boston U.,Patriot,,,176,176,104,135,7,11,7,11,0,0,5,5,90,,0,5,1,1,4,3,2,2
2020-21-EastCarolina,2020-21,East Carolina,The American,,,180,180,107,138,7,11,2,11,5,1,1,4,132,308,1,2,0,3,2,5,4,1
2020-21-UNCAsheville,2020-21,UNC Asheville,Big South,,,240,240,294,228,10,10,9,6,1,4,4,6,254,257,1,1,0,1,1,2,8,6
2020-21-American,2020-21,American,Patriot,,,192,193,106,137,4,6,4,6,0,0,2,4,147,,0,0,0,3,3,3,1,1
2020-21-Minnesota,2020-21,Minnesota,Big Ten,,,77,77,15,73,14,15,7,15,7,1,0,10,11,266,4,11,3,3,3,1,4,1
2020-21-SaintLouis,2020-21,Saint Louis,Atlantic 10,,,43,43,115,145,14,6,7,5,7,1,1,4,122,219,2,2,2,2,4,2,6,1
2020-21-FDU,2020-21,FDU,NEC,,,238,238,219,202,9,15,8,10,1,5,5,9,260,149,0,1,0,1,5,6,4,7
2020-21-WesternKy.,2020-21,Western Ky.,CUSA,,,81,81,135,157,20,7,13,4,7,3,5,3,124,43,1,3,3,1,7,3,9,1
2020-21-UMBC,2020-21,UMBC,America East,,,136,137,252,216,14,6,10,5,4,1,9,2,307,258,0,1,0,0,7,1,7,4
2020-21-Fairfield,2020-21,Fairfield,MAAC,,,273,273,229,206,10,17,10,12,0,5,3,8,308,237,0,0,0,1,5,10,5,6
2020-21-MississippiSt.,2020-21,Mississippi St.,SEC,,,82,82,57,100,15,14,9,11,6,3,5,4,56,216,1,8,6,4,4,2,4,1
2020-21-Monmouth,2020-21,Monmouth,MAAC,,,193,192,252,216,12,8,12,7,0,1,5,5,319,291,0,0,0,0,1,6,11,2
2020-21-PennSt.,2020-21,Penn St.,Big Ten,,,42,42,1,49,11,14,8,13,3,1,3,8,1,56,3,12,4,1,4,1,0,0
2020-21-SanDiegoSt.,2020-21,San Diego St.,Mountain West,24,AQ,18,18,97,131,22,4,17,3,5,1,6,2,116,78,1,3,7,1,8,1,6,1
2020-21-VirginiaTech,2020-21,Virginia Tech,ACC,38,AL,48,48,78,113,15,6,9,5,6,1,3,3,88,202,2,3,3,3,5,1,5,1
2020-21-JamesMadison,2020-21,James Madison,CAA,,,137,136,168,175,10,7,8,3,2,4,3,3,233,222,0,1,0,0,5,3,5,3
2020-21-KentSt.,2020-21,Kent St.,MAC,,,112,112,155,170,14,8,12,7,2,1,6,5,149,66,0,2,1,4,5,2,8,1
2020-21-AppState,2020-21,App State,Sun Belt,68,AQ,210,210,219,202,13,11,11,8,2,3,4,7,236,98,0,2,0,1,7,2,6,6
2020-21-Troy,2020-21,Troy,Sun Belt,,,286,286,187,190,8,17,5,13,3,4,2,11,201,126,0,2,0,3,1,7,7,5
2020-21-TennesseeTech,2020-21,Tennessee Tech,OVC,,,316,316,193,192,5,22,5,15,0,7,0,16,183,55,0,3,0,3,0,10,5,6
2020-21-WeberSt.,2020-21,Weber St.,Big Sky,,,116,117,294,228,14,6,12,4,2,2,6,4,263,68,0,2,0,1,2,1,12,2
2020-21-Chattanooga,2020-21,Chattanooga,SoCon,,,140,139,174,179,16,8,9,8,7,1,9,4,202,280,0,0,3,3,4,5,9,1
2020-21-Lafayette,2020-21,Lafayette,Patriot,,,198,198,216,201,9,6,9,6,0,0,3,3,316,,0,0,0,0,5,2,4,4
2020-21-Richmond,2020-21,Richmond,Atlantic 10,,,68,68,73,110,12,8,6,6,6,2,5,3,83,61,3,4,2,1,6,2,1,2
2020-21-NewMexico,2020-21,New Mexico,Mountain West,,,302,302,167,174,4,16,2,16,2,1,3,8,134,293,0,5,0,2,1,7,3,2
2020-21-CharlestonSo.,2020-21,Charleston So.,Big South,,,333,333,247,215,2,18,2,15,0,3,2,8,276,196,0,1,0,2,0,7,2,8
2020-21-MiddleTenn.,2020-21,Middle Tenn.,CUSA,,,303,303,150,165,4,18,3,14,1,4,0,9,172,251,0,0,0,7,0,7,4,4
2020-21-StonyBrook,2020-21,Stony Brook,America East,,,226,226,204,196,8,14,7,10,1,4,4,8,255,178,0,1,0,3,1,5,7,5
2020-21-IdahoSt.,2020-21,Idaho St.,Big Sky,,,272,272,312,234,8,11,8,7,0,4,5,5,302,208,0,0,1,2,0,2,7,7
2020-21-SamHouston,2020-21,Sam Houston,Southland,,,171,171,240,211,15,9,13,4,2,5,7,6,153,15,0,6,1,1,1,2,13,1
2020-21-YoungstownSt.,2020-21,Youngstown St.,Horizon,,,254,254,318,235,11,12,10,12,1,1,5,7,309,320,1,1,0,0,1,3,9,8
2020-21-UNLV,2020-21,UNLV,Mountain West,,,179,179,124,152,10,15,9,11,1,4,3,7,96,35,0,7,1,5,1,1,8,2
2020-21-KansasCity,2020-21,Kansas City,Summit League,,,251,251,213,200,7,13,7,8,0,5,2,8,195,67,0,2,0,3,1,3,6,5
2020-21-IndianaSt.,2020-21,Indiana St.,MVC,,,120,121,121,151,14,10,12,8,2,2,5,6,119,49,1,4,0,4,3,2,10,1
2020-21-VCU,2020-21,VCU,Atlantic 10,39,AL,37,36,72,108,19,7,12,5,7,2,5,3,81,104,2,5,7,1,6,2,4,1
2020-21-Kansas,2020-21,Kansas,Big 12,12,AL,11,11,35,88,19,8,13,6,6,2,4,6,16,45,7,8,2,1,5,1,5,1
2020-21-IowaSt.,2020-21,Iowa St.,Big 12,,,232,232,19,74,2,22,0,19,2,3,0,11,3,101,0,15,0,2,0,4,2,1
2020-21-Louisiana,2020-21,Louisiana,Sun Belt,,,195,195,247,215,15,9,11,8,4,1,6,4,270,143,0,1,0,0,5,3,10,5
2020-21-WashingtonSt.,2020-21,Washington St.,Pac-12,,,101,101,86,124,14,13,7,13,7,1,3,6,91,315,1,6,1,4,5,2,7,1
2020-21-SouthDakota,2020-21,South Dakota,Summit League,,,178,178,242,213,13,11,12,5,1,6,5,4,222,90,0,2,1,3,2,2,10,4
2020-21-Evansville,2020-21,Evansville,MVC,,,233,233,141,161,9,16,7,12,2,4,1,10,136,248,0,5,0,1,2,7,7,3
2020-21-Valparaiso,2020-21,Valparaiso,MVC,,,229,228,130,155,8,18,7,12,1,6,4,11,130,132,0,4,1,3,3,8,4,3
2020-21-Akron,2020-21,Akron,MAC,,,106,107,155,170,13,8,13,7,0,1,5,5,151,2,0,2,2,3,6,1,5,2
